os	os_major	browser	browser_major	pageviews	percentage
Windows 7	Other	Chrome	40	2077298000	27.8337961808
Windows 7	Other	Firefox	35	772070000	10.3449957672
Windows 8.1	Other	Chrome	40	707299000	9.4771266351
Windows 7	Other	IE	11	668250000	8.953907575
Windows XP	Other	Chrome	40	263264000	3.52748451
Windows 7	Other	IE	9	256054000	3.4308774414
Other	Other	Other	Other	249762000	3.3465706902
Mac OS X	10	Safari	8	234609000	3.1435350576
Mac OS X	10	Chrome	40	224488000	3.0079233875
Windows 8.1	Other	Firefox	35	223678000	2.9970701662
Windows 8.1	Other	IE	11	186137000	2.4940568564
Windows XP	Other	Firefox	35	162298000	2.1746371741
Windows 7	Other	IE	10	121154000	1.6233471281
Windows 8	Other	Chrome	40	113174000	1.5164227997
Mac OS X	10	Safari	7	111858000	1.4987896648
Mac OS X	10	Firefox	35	86345000	1.1569399919
Windows 7	Other	Firefox	36	82283000	1.1025130969
Windows Vista	Other	Chrome	40	81966000	1.0982656016
Other	Other	Googlebot	2	80251000	1.0752862504
Linux	Other	Firefox	10	78310000	1.0492787164
Windows 7	Other	Opera	27	77538000	1.0389346585
Windows 7	Other	Chrome	39	67119000	0.8993300749
Other	Other	Chrome	9	57749000	0.7737810828
Windows Vista	Other	Firefox	35	45281000	0.6067218689
Windows 7	Other	Firefox	3	42131000	0.5645148972
Mac OS X	10	Safari	5	42009000	0.5628802145
Windows Vista	Other	IE	9	40833000	0.547122945
Windows 7	Other	Yandex Browser	14	34751000	0.465629992
Mac OS X	10	Safari	6	32640000	0.4373446214
Windows 8	Other	Firefox	35	30049000	0.4026277123
Ubuntu	Other	Firefox	35	26926000	0.3607825146
iOS	8	CFNetwork	711	25885000	0.3468341153
Windows 8.1	Other	Firefox	36	24961000	0.3344534036
Windows 7	Other	Firefox	31	24389000	0.3267891535
Windows 8.1	Other	Opera	27	23266000	0.3117420331
Windows 8.1	Other	Chrome	39	18342000	0.2457651668
Windows 8	Other	IE	10	17829000	0.23889146
Windows XP	Other	Firefox	36	15691000	0.2102443154
Chrome OS	6457	Chrome	40	14001000	0.1875999401
Windows 7	Other	Firefox	34	6739000	0.0902961214
Windows Vista	Other	Firefox	36	3817000	0.0511441305
Ubuntu	Other	Firefox	36	3545000	0.047499592
Mac OS X	10	Firefox	36	2780000	0.0372493274
Windows XP	Other	IE	6	1235000	0.0165478127
Windows 7	Other	Firefox	33	786000	0.0105316444
Windows 7	Other	Chrome	36	674000	0.009030952
Windows 8	Other	Firefox	36	600000	0.0080394232
Windows 7	Other	Sogou Explorer	1	591000	0.0079188318
Linux	Other	Chrome	40	517000	0.006927303
